,Departamento,Provincia,Distrito,Entidad,Ubicación,TipodeRAEE
89,Lima,Lima,Miraflores,Vivanda,Av. José Pardo 715,Celulares y sus accesorios. CLARO
90,Lima,Lima,Miraflores,Centro de Atención -  CLARO,Av. Larco 652,Celulares y sus accesorios.
91,Lima,Lima,Miraflores,ASPAGER,Centro Promotor (Malecón Cisneros cdra.8),"Televisores, equipos de cómputo celulares y sus accesorios, 
tablets, pequeños electrodomésticos."
92,Lima,Lima,San Borja,Plaza Vea,Av. Angamos Este 2337,Celulares y sus accesorios.
93,Lima,Lima,San Borja,Plaza Vea,Calle Morelli cuadra 1,Celulares y sus accesorios.
94,Lima,Lima,San Borja,Supermercados Peruano,Calle Morelli 139 - 5to Piso,Celulares y sus accesorios.
95,Lima,Lima,San borja,Homecenters Peruanos S.A,"Av. Aviación 2405, piso 15",Celulares y sus accesorios. CLARO
96,Lima,Lima,San Borja,Centro de Atención -  CLARO,CC Primavera Park Plaza / Av. Aviación 3620,Celulares y sus accesorios.
97,Lima,Lima,San Borja,"SONY Perú
http://www.viveelcambio.com/",Av. Angamos Este 2673,"Celulares, equipos de audio, cámaras digitales, televisores, 
reproductores de MP3/MP4, y equipos de cómputo."
98,Lima,Lima,San Isidro,Vivanda,Av. Dos de Mayo 1410,Celulares y sus accesorios. CLARO
99,Lima,Lima,San Isidro,Vivanda,Calle los Libertadores 594-596,Celulares y sus accesorios. CLARO
100,Lima,Lima,San Isidro,Vivanda,Av. Juan Antonio Pezet 1340 – 1360,Celulares y sus accesorios. CLARO
101,Lima,Lima,San Isidro,Plaza Vea,Av. Camino Real 1335,Celulares y sus accesorios.
102,Lima,Lima,San Isidro,Red de Energía del Perú,"Av. Juan de Arona 720 dpto. 601 Urb. 
Chacarilla - Santa cruz (Esquina de Juan de 
Arona con Camelias)",Celulares y sus accesorios.
103,Lima,Lima,San Isidro,Duke Energy Perú,Av. Dionisio Derteano 144 int. 1901 (piso 19),Celulares y sus accesorios. CLARO
104,Lima,Lima,San Isidro,Centro de Atención -  CLARO,Av. Las Begonias 798,Celulares y sus accesorios.
105,Lima,Lima,San Isidro,"SONY Perú
http://www.viveelcambio.com/",Av. Petit Thouars  3921,"Celulares, equipos de audio, cámaras digitales, televisores, 
reproductores de MP3/MP4, y equipos de cómputo"
106,Lima,Lima,San Isidro,RLG Perú,"Municipalidad de San Isidro, Avenida Salaverry 
cuadra 30","1. Grandes electrodomésticos.
2. Pequeños electrodomésticos. 
3. Equipos de informática y telecomunicaciones( a excepción de 
toners sueltos).
4. Aparatos electrónicos de consumo. 
6. Herramientas eléctricas y electrónicas. 
7. Juguetes o equipos deportivos y de tiempo libre. 
8. Aparatos médicos.
9. Instrumentos de vigilancia y control. 
10. Máquinas expendedoras."
107,Lima,Lima,San Isidro,RLG Perú,"Municipalidad de San Isidro, Guardia Civil con 
Ricardo Angulo","1. Grandes electrodomésticos.
2. Pequeños electrodomésticos. 
3. Equipos de informática y telecomunicaciones( a excepción de 
toners sueltos).
4. Aparatos electrónicos de consumo. 
6. Herramientas eléctricas y electrónicas. 
7. Juguetes o equipos deportivos y de tiempo libre. 
8. Aparatos médicos.
9. Instrumentos de vigilancia y control. 
10. Máquinas expendedoras."
108,Lima,Lima,San Isidro,RLG Perú,"Municipalidad de San Isidro, Parque de la Pera","1. Grandes electrodomésticos.
2. Pequeños electrodomésticos. 
3. Equipos de informática y telecomunicaciones( a excepción de 
toners sueltos).
4. Aparatos electrónicos de consumo. 
6. Herramientas eléctricas y electrónicas. 
7. Juguetes o equipos deportivos y de tiempo libre. 
8. Aparatos médicos.
9. Instrumentos de vigilancia y control. 
10. Máquinas expendedoras."
109,Lima,Lima,San Juan de Lurigancho,Centro de Atención -  CLARO,Av. Gran Chimú 483 - Urb. Zárate,Celulares y sus accesorios.
110,Lima,Lima,San Juan de Lurigancho,"SONY Perú
http://www.viveelcambio.com/",Av. Próceres de la Independencia 1771-A,"Celulares, equipos de audio, cámaras digitales, televisores, 
reproductores de MP3/MP4, y equipos de cómputo."
111,Lima,Lima,San Juan de Miraflores,Centro de Atención -  CLARO,"C.C. Mall del sur, sub lote 1 - LC #TMS 3054- 
3058 – Av. los lirios N° 301 Calle Carretera 
Atocongo",Celulares y sus accesorios.
112,Lima,Lima,San Juan de Miraflores,Centro de Atención -  CLARO,"Centro Comercial Open Plaza Atocongo, tienda 
25 - Av. Circunvalación 1803",Celulares y sus accesorios.
113,Lima,Lima,San Juan Miraflores,"SONY Perú
http://www.viveelcambio.com/",Av. Los Héroes 344,"Celulares, equipos de audio, cámaras digitales, televisores, 
reproductores de MP3/MP4, y equipos de cómputo."
114,Lima,Lima,San Martín de Porres,Centro de Atención -  CLARO,"Centro Comercial Real Plaza Pro -  Av. Alfredo 
Mendiola7008 km. 21",Celulares y sus accesorios.
115,Lima,Lima,San Martín de Porres,"CONSULTORIA & LOGISTICA INVERSA 
S.A.C","Operador Comimtel Recycling ubicado en Av. 
Alfredo Mendiola N° 8034 – Mz. D6 Lote 03 - 
Urb. Pro Industrial 6to Sector","1. Grandes electrodomésticos.
2. Pequeños electrodomésticos. 
3. Equipos de informática y telecomunicaciones.
4. Aparatos electrónicos de consumo. 
5. Aparatos de alumbrado."
116,Lima,Lima,San Martín de Porres,"CONSULTORIA & LOGISTICA INVERSA 
S.A.C","Municipalidad Distrital de San Martín De Porres 
Av. Alfredo Mendiola N° 169","1. Grandes electrodomésticos.
2. Pequeños electrodomésticos. 
3. Equipos de informática y telecomunicaciones.
4. Aparatos electrónicos de consumo. 
5. Aparatos de alumbrado. 
6. Herramientas eléctricas y electrónicas. 
7. Juguetes o equipos deportivos y de tiempo libre. 
8. Aparatos médicos.
9. Instrumentos de vigilancia y control. 
10. Máquinas expendedoras."
117,Lima,Lima,San Miguel,Plaza Vea,Av. La Marina 2155,Celulares y sus accesorios.
118,Lima,Lima,San Miguel,Centro de Atención -  CLARO,"CC Plaza San Miguel - local 303 / Av. La Marina 
cdra. 21",Celulares y sus accesorios.
119,Lima,Lima,San Miguel,"SONY Perú
http://www.viveelcambio.com/",Av. E. Faucett 354,"Celulares, equipos de audio, cámaras digitales, televisores, 
reproductores de MP3/MP4, y equipos de cómputo"
120,Lima,Lima,San Miguel,"CONSULTORIA & LOGISTICA INVERSA 
S.A.C","Oximedic SAC (Solo Categoría 1, 2, 3 Y 4) Rafael 
Escardó 193 Urb. Maranga","1. Grandes electrodomésticos.
2. Pequeños electrodomésticos. 
3. Equipos de informática y telecomunicaciones.
4. Aparatos electrónicos de consumo."
121,Lima,Lima,Santa Anita,Centro de Atención -  CLARO,"Centro Comercial Mall Aventura Plaza, Local fl-
4a - Carretera Central 111",Celulares y sus accesorios.
122,Lima,Lima,Santa Anita,RLG Perú,Makro Santa Anita - Carretera Central Km 1,"1. Grandes electrodomésticos.
2. Pequeños electrodomésticos. 
3. Equipos de informática y telecomunicaciones( a excepción de 
toners sueltos).
4. Aparatos electrónicos de consumo. 
6. Herramientas eléctricas y electrónicas. 
7. Juguetes o equipos deportivos y de tiempo libre. 
8. Aparatos médicos.
9. Instrumentos de vigilancia y control. 
10. Máquinas expendedoras."
123,Lima,Lima,Santiago de Surco,Plaza Vea,"Mz. B2 Lt 10 Urb. Los Rosales Surco. (cdra. 1 de 
Av. Ayacucho)",Celulares y sus accesorios.
124,Lima,Lima,Santiago de Surco,Plaza Vea,Av. Tomás Marsano 5000 – Bolichera,Celulares y sus accesorios.
125,Lima,Lima,Santiago de Surco,Plaza Vea,Av. Caminos del Inca 351 Chacarilla,Celulares y sus accesorios.
126,Lima,Lima,Santiago de Surco,Plaza Vea,"Av. Aviación 5150 Tienda  B Urb. Residencial 
Higuereta",Celulares y sus accesorios.
127,Lima,Lima,Santiago de Surco,Plaza Vea,Av. Javier Prado Este 4200,Celulares y sus accesorios.
128,Lima,Lima,Santiago de Surco,Plaza Vea,Av. Benavides cdra. 51 s/n,Celulares y sus accesorios.
129,Lima,Lima,Santiago de Surco,Plaza Vea,Av. Jacarandá 890 - Urb. Valle Hermoso,Celulares y sus accesorios.
130,Lima,Lima,Santiago de Surco,Centro de Atención -  CLARO,"CC Jockey Plaza Centro Financiero / Av. Javier 
Prado Este 4200",Celulares y sus accesorios.
131,Lima,Lima,Santiago de Surco,Vivanda,"Av. La Encalada cdra.5 con Av. Angamos cdra. 
15",Celulares y sus accesorios. CLARO
132,Lima,Lima,Santiago de Surco,"SONY Perú
http://www.viveelcambio.com/",Centro comercial Jockey Plaza - Sony Store,"Celulares, equipos de audio, cámaras digitales, televisores, 
reproductores de MP3/MP4, y equipos de cómputo."
133,Lima,Lima,Santiago de Surco,Parque Ecológico Voces por el Clima,Av. los Castillos 15063,"Computadoras, Laptops, Tablets MP3, impresoras, monitores, 
celulares y accesorios, teclados y mouses, televisores y 
electrodomésticos."
134,Lima,Lima,Santiago de Surco,RLG Perú,"HP Store - Av. Manuel Olguín 209 Torre 
Empresarial Omega","1. Grandes electrodomésticos.
2. Pequeños electrodomésticos. 
3. Equipos de informática y telecomunicaciones( a excepción de 
toners sueltos).
4. Aparatos electrónicos de consumo. 
6. Herramientas eléctricas y electrónicas. 
7. Juguetes o equipos deportivos y de tiempo libre. 
8. Aparatos médicos.
9. Instrumentos de vigilancia y control. 
10. Máquinas expendedoras."
135,Lima,Lima,Santiago de Surco,"Municipalidad de Santiago de Surco y 
ASPAGER","Parque Ecológico Voces por el Clima altura 
cdra. 12 Av. Jorge Chávez - Espalda de Makro","Televisores, equipos de cómputo celulares y sus accesorios, 
tablets, pequeños electrodomésticos."
136,Lima,Lima,Santiago de Surco,Municipalidad de Santiago de Surco,"Av. Intihuatana cuadra 1 s/n,  altura Av. 
Caminos del Inca con Av. Angamos, costado 
Tienda Maestro.","Televisores, equipos de cómputo celulares y sus accesorios, 
tablets, pequeños electrodomésticos."
137,Lima,Lima,Surquillo,Centro de Atención -  CLARO,"Centro Comercial Open Plaza Angamos, Local 
a1 - Av. Angamos cruce con Tomás Marsano",Celulares y sus accesorios.
138,Lima,Lima,Surquillo,RLG Perú,Intcomex Calle Los Negocios 448 -,"1. Grandes electrodomésticos.
2. Pequeños electrodomésticos. 
3. Equipos de informática y telecomunicaciones( a excepción de 
toners sueltos).
4. Aparatos electrónicos de consumo. 
6. Herramientas eléctricas y electrónicas. 
7. Juguetes o equipos deportivos y de tiempo libre. 
8. Aparatos médicos.
9. Instrumentos de vigilancia y control. 
10. Máquinas expendedoras."
139,Lima,Lima,Villa El Salvador,Centro de Atención -  CLARO,Artesanos Mz k-2 lt 5 Parcel II Parque Industrial,Celulares y sus accesorios.
140,Madre de Dios,Tambopata,Tambopata,Centro de Atención -  CLARO,Av. Leon Velarde 586,Celulares y sus accesorios.
141,Moquegua,Ilo,Ilo,Centro de Atención -  CLARO,Jr. Zepita 422,Celulares y sus accesorios.
142,Piura,Piura,Castilla,Centro de Atención -  CLARO,"Centro Comercial Open Plaza, Av. Andres 
Avelino Caceres 147 - Urb. Miraflores Ii Parte 
(Piso 1)",Celulares y sus accesorios.
143,Piura,Piura,Piura,Plaza Vea,"Sub-Lote 234-239 ""A"" Zona Industrial",Celulares y sus accesorios.
144,Piura,Piura,Piura,Plaza Vea,Calle La Mar 154,Celulares y sus accesorios.
145,Piura,Piura,Piura,Sede Piura - CLARO,Av. Sanchez Cerro 701,Celulares y sus accesorios.
146,Piura,Piura,Piura,Centro de Atención -  CLARO,"Centro Comercial Real Plaza Piura, Av. Sanchez 
Cerro 234, Dpto. 239, Lt A-B ,Lc 155/ Lc-T1",Celulares y sus accesorios.
147,Piura,Talara,Talara,Plaza Vea,Calle Mariscal Castilla S/N Parque 78 Pariñas,Celulares y sus accesorios.
148,Puno,Puno,Puno,Plaza Vea,Jr. Los Incas s/n Estación Ferroviaria,Celulares y sus accesorios.
149,Puno,Puno,Puno,Centro de Atención -  CLARO,Jr. Arequipa 754,Celulares y sus accesorios.
150,Puno,San Roman,Juliaca,Plaza Vea,Esquina San Martín con Tumbes S/N,Celulares y sus accesorios.
151,Puno,San Roman,Juliaca,Centro de Atención -  CLARO,"Centro Comercial Real Plaza - Esquina Tumbes 
con San Martín tiendas 101-102-103",Celulares y sus accesorios.
152,Puno,San Roman,Juliaca,Centro de Atención -  CLARO,Jr. Mariano Nuñez 231,Celulares y sus accesorios.
153,San Martín,San Martin,Tarapoto,Centro de Atención -  CLARO,Jr. Jiménez Pimentel N° 232,Celulares y sus accesorios.
154,Tacna,Tacna,Tacna,Plaza Vea,Parcela 9 s/n Sector Pago Silpay,Celulares y sus accesorios.
155,Tacna,Tacna,Tacna,Centro de Atención -  CLARO,Av. San Martín 259,Celulares y sus accesorios.
156,Tumbes,Tumbes,Tumbes,Centro de Atención -  CLARO,Calle Plaza De Armas 104,Celulares y sus accesorios.
